,Weight
0,242.0
1,290.0
2,340.0
3,363.0
4,430.0
5,450.0
6,500.0
7,390.0
8,450.0
9,500.0
10,475.0
11,500.0
12,500.0
13,340.0
14,600.0
15,600.0
16,700.0
17,700.0
18,610.0
19,650.0
20,575.0
21,685.0
22,620.0
23,680.0
24,700.0
25,725.0
26,720.0
27,714.0
28,850.0
29,1000.0
30,920.0
31,955.0
32,925.0
33,975.0
34,950.0
35,40.0
36,69.0
37,78.0
38,87.0
39,120.0
40,0.0
41,110.0
42,120.0
43,150.0
44,145.0
45,160.0
46,140.0
47,160.0
48,169.0
49,161.0
50,200.0
51,180.0
52,290.0
53,272.0
54,390.0
55,270.0
56,270.0
57,306.0
58,540.0
59,800.0
60,1000.0
61,55.0
62,60.0
63,90.0
64,120.0
65,150.0
66,140.0
67,170.0
68,145.0
69,200.0
70,273.0
71,300.0
72,5.9
73,32.0
74,40.0
75,51.5
76,70.0
77,100.0
78,78.0
79,80.0
80,85.0
81,85.0
82,110.0
83,115.0
84,125.0
85,130.0
86,120.0
87,120.0
88,130.0
89,135.0
90,110.0
91,130.0
92,150.0
93,145.0
94,150.0
95,170.0
96,225.0
97,145.0
98,188.0
99,180.0
100,197.0
101,218.0
102,300.0
103,260.0
104,265.0
105,250.0
106,250.0
107,300.0
108,320.0
109,514.0
110,556.0
111,840.0
112,685.0
113,700.0
114,700.0
115,690.0
116,900.0
117,650.0
118,820.0
119,850.0
120,900.0
121,1015.0
122,820.0
123,1100.0
124,1000.0
125,1100.0
126,1000.0
127,1000.0
128,200.0
129,300.0
130,300.0
131,300.0
132,430.0
133,345.0
134,456.0
135,510.0
136,540.0
137,500.0
138,567.0
139,770.0
140,950.0
141,1250.0
142,1600.0
143,1550.0
144,1650.0
145,6.7
146,7.5
147,7.0
148,9.7
149,9.8
150,8.7
151,10.0
152,9.9
153,9.8
154,12.2
155,13.4
156,12.2
157,19.7
158,19.9
